"crop","variety","variety_harmonized"
"fingermillet","jabi",""
"fingermillet","kako-1",""
"fingermillet","keyo",""
"fingermillet","local",""
"fingermillet","meba",""
"fingermillet","mecha",""
"fingermillet","mereb 1",""
"fingermillet","necho",""
"fingermillet","padet",""
"fingermillet","padete",""
"fingermillet","red shenhsan",""
"fingermillet","tadese",""
"fingermillet","tadesse",""
"fingermillet","tekeze",""
"fingermillet","tesema",""
"fingermillet","tessema",""
"fingermillet","urji",""
"fingermillet","wama",""
"fingermillet","waman",""
"fingermillet","white finger millet",""
"haricotbean","a/dume",""
"haricotbean","ada",""
"haricotbean","anger",""
"haricotbean","awasa dume",""
"haricotbean","awash 1",""
"haricotbean","awash 2",""
"haricotbean","awash melika",""
"haricotbean","awash melka",""
"haricotbean","awash metin",""
"haricotbean","awash mitin",""
"haricotbean","awash-1",""
"haricotbean","awash-2",""
"haricotbean","awash-melkasa",""
"haricotbean","batty",""
"haricotbean","bf large seed ",""
"haricotbean","bfss-15",""
"haricotbean","bsls-5",""
"haricotbean","bz-2",""
"haricotbean","bz-2 ",""
"haricotbean","chercher",""
"haricotbean","dab 97",""
"haricotbean","dab-107",""
"haricotbean","dab-97",""
"haricotbean","dame",""
"haricotbean","deme",""
"haricotbean","dendessu",""
"haricotbean","dinkash",""
"haricotbean","dinkinesh",""
"haricotbean","dirsty",""
"haricotbean","drk",""
"haricotbean","dursitu",""
"haricotbean","ebado",""
"haricotbean","ecap-056",""
"haricotbean","fantale",""
"haricotbean","fetene",""
"haricotbean","gabisa",""
"haricotbean","gagaba",""
"haricotbean","gegawe",""
"haricotbean","gegeba",""
"haricotbean","glp 2",""
"haricotbean","gofta",""
"haricotbean","haramaya",""
"haricotbean","hawasa-dume",""
"haricotbean","hawassa dume",""
"haricotbean","hawassa dumme",""
"haricotbean","ibado",""
"haricotbean","katb-1",""
"haricotbean","katb-9",""
"haricotbean","lehode",""
"haricotbean","local (adi)",""
"haricotbean","local (dima)",""
"haricotbean","local (lojo)",""
"haricotbean","local (otongure)",""
"haricotbean","loko",""
"haricotbean","melkedima",""
"haricotbean","melko",""
"haricotbean","naser",""
"haricotbean","nasir",""
"haricotbean","nassir",""
"haricotbean","ramad",""
"haricotbean","ramada",""
"haricotbean","remeda",""
"haricotbean","roba",""
"haricotbean","rori",""
"haricotbean","sab 632",""
"haricotbean","sab 736",""
"haricotbean","sab-632",""
"haricotbean","sab-736",""
"haricotbean","ser 119",""
"haricotbean","ser 125",""
"haricotbean","ser 632",""
"haricotbean","ser-119",""
"haricotbean","ser-125",""
"haricotbean","ser119",""
"haricotbean","ser125",""
"haricotbean","tatu",""
"haricotbean","tinike",""
"haricotbean","vcp-2",""
"haricotbean","wajju",""
"haricotbean","wajo",""
"haricotbean","waju",""
"haricotbean","wedo",""
"haricotbean","weju",""
"lentil","ada",""
"lentil","alem tena",""
"lentil","alemaya 98",""
"lentil","assano",""
"lentil","chekol",""
"lentil","derash",""
"lentil","gudo",""
"maize","bh-140",""
"maize","bhq - 545",""
"maize","bhq-545",""
"maize","gibe -2",""
"maize","gibe -3",""
"maize","gibe-2",""
"maize","gibe-3",""
"maize","gutto lms-5",""
"maize","id shala",""
"maize","id-shala",""
"maize","malkasa-1q",""
"maize","malkasa-2",""
"maize","malkasa-4",""
"maize","malkasa-6q",""
"maize","melkasa-1q",""
"maize","melkasa-2",""
"maize","melkasa-4",""
"maize","melkasa-6q",""
"maize","melkassa-2",""
"maize","melkassa-2 ",""
"maize","melkassa-4",""
"maize","melkassa-6q",""
"maize","mhq - 138",""
"maize","mhq-138",""
"maize","sheno",""
"maize","shone",""
"oat","acc-2806",""
"oat","acc-5453",""
"oat","acc-6710",""
"oat","bona-bas",""
"oat","bonsa",""
"oat","ci-8237",""
"oat","ci-8251",""
"otros","abshir",""
"otros","adleye",""
"otros","boset",""
"otros","dagim",""
"otros","dhakaba",""
"otros","dz-01-974",""
"otros","dz-cr-37",""
"otros","gedeo",""
"otros","ginchi-1",""
"otros","gubiye",""
"otros","jiru",""
"otros","kora",""
"otros","kuncho",""
"otros","kuyu",""
"otros","local-1",""
"otros","local-2",""
"otros","meko",""
"otros","meko 1",""
"otros","melkam",""
"otros","shambu-1",""
"otros","simada",""
"otros","teshale",""
"otros","v1",""
"otros","v10",""
"otros","v2",""
"otros","v3",""
"otros","v4",""
"otros","v5",""
"otros","v6",""
"otros","v7",""
"otros","v8",""
"otros","v9",""
"otros","yeju",""
"sesame","abasena",""
"sesame","dicho",""
"sesame","gondar 1",""
"sesame","haromaya 1",""
"sesame","humera 1",""
"sesame","local",""
"sesame","obsa",""
"sesame","setit 1",""
"sesame","setit 2",""
"sesame","setit 3",""
"sorghum","2005ml5060",""
"sorghum","76t #23",""
"sorghum","abishir",""
"sorghum","abshir",""
"sorghum","abshire",""
"sorghum","adale",""
"sorghum","adele",""
"sorghum","adleye",""
"sorghum","alena",""
"sorghum","alene",""
"sorghum","argieti",""
"sorghum","baji",""
"sorghum","birhan",""
"sorghum","bonsa",""
"sorghum","camada",""
"sorghum","chare",""
"sorghum","dabir",""
"sorghum","dagem",""
"sorghum","dagim",""
"sorghum","dagnew",""
"sorghum","debaba",""
"sorghum","dekeba",""
"sorghum","dhakaba",""
"sorghum","dibaba",""
"sorghum","esh-4",""
"sorghum","eshl(hybrid)",""
"sorghum","fandisha",""
"sorghum","fandishe",""
"sorghum","gamada",""
"sorghum","gamadi",""
"sorghum","gambella-1107",""
"sorghum","gedio",""
"sorghum","geremew",""
"sorghum","girana",""
"sorghum","girana 1",""
"sorghum","gobiye",""
"sorghum","gobye",""
"sorghum","grana",""
"sorghum","gubiye",""
"sorghum","hormat",""
"sorghum","jiru",""
"sorghum","lalo",""
"sorghum","local (aba mechal)",""
"sorghum","local (bobe)",""
"sorghum","macia",""
"sorghum","meko",""
"sorghum","meko 1",""
"sorghum","melkam",""
"sorghum","merewey",""
"sorghum","mesay",""
"sorghum","misiker",""
"sorghum","misikir",""
"sorghum","miskir",""
"sorghum","muyira 1",""
"sorghum","muyira 2",""
"sorghum","muyra -1",""
"sorghum","muyra -2",""
"sorghum","raya",""
"sorghum","red swazi",""
"sorghum","s1",""
"sorghum","s10",""
"sorghum","s2",""
"sorghum","s3",""
"sorghum","s4",""
"sorghum","s5",""
"sorghum","s6",""
"sorghum","s7",""
"sorghum","s8",""
"sorghum","s9",""
"sorghum","serdo",""
"sorghum","teshale",""
"sorghum","tsaeda chimure",""
"sorghum","var1",""
"sorghum","var10",""
"sorghum","var2",""
"sorghum","var3",""
"sorghum","var4",""
"sorghum","var5",""
"sorghum","var6",""
"sorghum","var7",""
"sorghum","var8",""
"sorghum","var9",""
"sorghum","yeju",""
"sorghum","zeri addis",""
"soybean","afgat",""
"soybean","awassa 95",""
"soybean","belesa 95",""
"soybean","gisham",""
"soybean","gizo",""
"soybean","pawi 1",""
"soybean","pawi 2",""
"soybean","pawi 3",""
"soybean","wogayehu",""
"teff","1",""
"teff","10",""
"teff","11",""
"teff","12",""
"teff","13",""
