"","district","village","district_harmonized","village_harmonized","longitute","latitude"
"1","  lume","Dh/b/kaawaa","","",39.07081604,8.47101398
"2"," lume","Dh/b/kaawaa","","",39.07081604,8.47101398
"3","1","jore","","",38.087877,7.313028
"4","10","jore","","",38.087877,7.313028
"5","11","jore","","",38.087877,7.313028
"6","12","jore","","",38.087877,7.313028
"7","13","jore","","",38.087877,7.313028
"8","15","jore","","",38.087877,7.313028
"9","16","jore","","",38.087877,7.313028
"10","17","jore","","",38.087877,7.313028
"11","18","jore","","",38.087877,7.313028
"12","19","jore","","",38.087877,7.313028
"13","2","jore","","",38.087877,7.313028
"14","20","jore","","",38.087877,7.313028
"15","21","jore","","",38.087877,7.313028
"16","22","jore","","",38.087877,7.313028
"17","25","jore","","",38.087877,7.313028
"18","3","jore","","",38.087877,7.313028
"19","36","Koto Billitti","","",NA,NA
"20","4","jore","","",38.087877,7.313028
"21","5","jore","","",38.087877,7.313028
"22","6","jore","","",38.087877,7.313028
"23","8","jore","","",38.087877,7.313028
"24","9","jore","","",38.087877,7.313028
"25","ANELEMO","DULANCHO-Belel","","",38.01811,7.66421
"26","ANELEMO","DULANCHO-Dahufa","","",38.01811,7.66421
"27","ANELEMO","DULANCHO-Duna","","",38.01811,7.66421
"28","ANELEMO","DULANCHO-Oreget","","",38.01811,7.66421
"29","Adea","Yha","","",NA,NA
"30","Adilo zuria","mander 1","","",37.9313016923077,7.22157846153846
"31","Adilo zuria","none","","",37.9293801,7.2233968
"32","Adoal","Gobicha","","",NA,NA
"33","Adola","Dole","","",38.995024,5.873008
"34","Adola","Gobicha","","",NA,NA
"35","Adola","Gobicho","","",NA,NA
"36","Adola","Godicha","","",NA,NA
"37","Adola","K/sorsa","","",NA,NA
"38","Adola","K/sorse","","",NA,NA
"39","Adona","Gobicha","","",NA,NA
"40","Adwa","D/genet","","",NA,NA
"41","Adwa","Debregenet","","",NA,NA
"42","Adwa","Endabagerima","","",NA,NA
"43","Adwa","Weyenty","","",NA,NA
"44","Adwa","Yeha","","",NA,NA
"45","Adwa","Yha","","",NA,NA
"46","Adwa","e/gerima","","",NA,NA
"47","Adwa","gendebta","","",NA,NA
"48","Adwa","weyenti","","",NA,NA
"49","AneLemo","AMEBSEHQE","","",37.97536,7.633915
"50","AneLemo","AMEBSHQA","","",37.9720352631579,7.60179615789474
"51","AneLemo","ANEBSHQA","","",37.97524,7.61222
"52","AneLemo","COCABE","","",37.9721403846154,7.62591230769231
"53","AneLemo","LOBEDUNA","","",37.9661772727273,7.62912909090909
"54","AneLemo","SUTAMO","","",37.9759708333333,7.62054444444444
"55","Arsi Sire","Alelu Gasala","","",39.492737,8.27641
"56","Arsi Sire","Amola Tabo","","",39.45,8.283333333
"57","Arsi Sire","Kolobashameda","","",39.45,8.283333333
"58","Arsi Sire","Ufura Agamsaa","","",39.45,8.283333333
"59","Asafa","Abboro","","",39.434316,8.663253
"60","Asefa","Tsehay","","",39.434316,8.663253
"61","Asfido","Zino","","",39.434316,8.663253
