"","district","village","district_harmonized","village_harmonized","longitute","latitude"
"62","Asgedetsimbela","D/Abay","","",38.184168,13.94944
"63","Asgedetsimbela","Dedebit","","",38.184168,13.94944
"64","Asgedetsimbela","Hetsats","","",38.184168,13.94944
"65","Asgedetsimbela","M/Shak","","",38.184168,13.94944
"66","Asgedetsimbela","Selam","","",38.184168,13.94944
"67","Atotiulo","AWEDA","","",38.2668615384615,7.2877
"68","Atotiulo","KOLEMENA","","",38.1911,7.32288888888889
"69","Atotiulo","SEDA","","",38.3060027777778,7.29458888888889
"70","Atotiulo","SOJA","","",38.2652558139535,7.28882093023256
"71","Atotiulo","TORO -1","","",38.1861142857143,7.32614285714286
"72","Atotiulo","daremo","","",38.2363193548387,7.29375483870968
"73","Atotiulo","firest-gurura","","",38.2132,7.2957
"74","Atotiulo","firest-neuose","","",38.2143232876712,7.30002328767123
"75","Atotiulo","hakula","","",38.2335913043478,7.29052608695652
"76","Atotiulo","haqule","","",38.232244,7.292524
"77","Atotiulo","seconed-gurura","","",38.2131571428571,7.31094285714286
"78","Atotiulo","seda","","",38.2288947368421,7.28431052631579
"79","Atotiulo","serede-gurura","","",38.2163421052632,7.31127894736842
"80","Atotiulo","tocheneto","","",38.1914,7.3216
"81","Axum","Kewanit","","",NA,NA
"82","Axum","Mysiye","","",NA,NA
"83","B/Chokorsa","G/Kobera","","",35.55,9.35
"84","B/Cokorsa","G/kobara","","",35.55,9.35
"85","BOSET","DHADACHA","","",39.434316,8.663253
"86","BOSET","DIGALU  WANGA","","",39.434316,8.663253
"87","BOSET","T/BIRETI","","",39.434316,8.663253
"88","Badhaso","Tafara","","",39.434316,8.663253
"89","Balcha","Gamachu","","",39.434316,8.663253
"90","Biruk","Endashew","","",39.434316,8.663253
"91","Boji  Cokorsa","Wando Kubur","","",35.55,9.35
"92","Boji Cokorsa","Igu Kobara","","",35.55,9.35
"93","Boji Cokorsa","Igu kobara","","",35.55,9.35
"94","Boji Cokorsa","Wando Kubur","","",35.55,9.35
"95","Boji Cokorsa","Wondo kubur","","",35.55,9.35
"96","Boji Cokorsa","wondo kubur","","",35.55,9.35
"97","Bore","Abeyi kutre","","",38.616669,6.36667
"98","Bore","Gutu Rajji","","",38.75,6.25
"99","Bore","S/Bericha","","",38.616669,6.36667
"100","Bore","Songo Bericha","","",38.623849,6.361429
"101","Boru","Ifa","","",39.434316,8.663253
"102","Bosat","Buta Badhaso","","",NA,NA
"103","Bosat","Buttaa DG","","",NA,NA
"104","Bosat","Calle","","",39.434316,8.663253
"105","Bosat","Dangare Tiyo","","",39.434316,8.663253
"106","Bosat","Furda","","",39.521237354363,8.69629436511313
"107","Bosat","Habebe","","",39.434316,8.663253
"108","Boset","Bekaktu Mome","","",39.5,8.666666667
"109","Boset","Buta Dongore","","",39.5,8.666666667
"110","Boset","Chamari Jawi","","",39.5,8.666666667
"111","Boset","Marko","","",NA,NA
"112","Boset","Marko Oda Laga","","",39.5,8.666666667
"113","Bure","Obo Miriga","","",NA,NA
"114","Bure","Obomiriga","","",NA,NA
"115","Bure","Toli Cheka","","",NA,NA
"116","Bure","Tolicheka","","",NA,NA
"117","CHENA","KOSSA","","",NA,NA
"118","Chena","Bobabella","","",35.8477364285714,7.16884836734694
"119","Chena","KOSSA","","",NA,NA
"120","Chena","Koda","","",35.7451507,7.1669419
"121","Chena","shacha","","",35.85051,7.17246
"122","Chiro","Arbarakate-2","","",40.91106,9.05383
"123","Chiro","Arbarakate-3","","",40.91106,9.05383
"124","Chiro","Arbarakatte_G-2","","",40.9403,9.09021
"125","Chiro","Arbarakatte_G-3","","",40.9403,9.09021
"126","Chiro","Arbarakatte_G-4","","",40.9403,9.09021
"127","Chiro","Arberakate V=10","","",40.91106,9.05383
"128","Chiro","Arberakate V=12","","",40.91106,9.05383
"129","Chiro","Arberakate V=13","","",40.91106,9.05383
"130","Chiro","Arberakate V=16","","",40.91106,9.05383
"131","Chiro","Arberakate V=17","","",40.91106,9.05383
"132","Chiro","Arberakate V=19","","",40.91106,9.05383
"133","Chiro","Arberakate V=22","","",40.91106,9.05383
"134","Chiro","Arberakate V=23","","",40.91106,9.05383
"135","Chiro","Arberakate V=24","","",40.91106,9.05383
"136","Chiro","Arberakate V=28","","",40.91106,9.05383
"137","Chiro","Arberakate V=3","","",40.91106,9.05383
"138","Chiro","Arberakate V=32","","",40.91106,9.05383
"139","Chiro","Arberakate V=38","","",40.91106,9.05383
"140","Chiro","Arberakate V=39","","",40.91106,9.05383
"141","Chiro","Arberakate V=44","","",40.91106,9.05383
"142","Chiro","Arberakate V=5","","",40.91106,9.05383
"143","Chiro","Arberakate V=52","","",40.91106,9.05383
"144","Chiro","Calla","","",40.91106,9.05383
"145","Chiro","D /Cabsa","","",40.91106,9.05383
"146","Chiro","Dhumuga","","",40.91106,9.05383
"147","Chiro","F/Bolla","","",40.91106,9.05383
"148","Chiro","Funyan dimo_Fuldimo","","",40.9403,9.09021
"149","Chiro","G/Ali","","",40.91106,9.05383
"150","Chiro","Jaldo","","",40.91106,9.05383
"151","Chiro","Kella","","",40.91106,9.05383
"152","Chiro","Medhicho#3 Duube","","",40.91106,9.05383
"153","Chiro","Medhicho#3 Waaqo","","",40.91106,9.05383
"154","Chiro","Medhicho#3 Waare","","",40.91106,9.05383
"155","Chiro","Medhicho#3 Yaayaa","","",40.91106,9.05383
"156","Chiro","Qirxe","","",40.91106,9.05383
"157","Chiro","Saro_Badeyiti","","",40.911,9.05383
"158","Chiro","Saro_Gora","","",40.911,9.05383
"159","Chiro","Saro_Migira","","",40.911,9.05383
"160","Chiro","Saro_Qacama","","",40.911,9.05383
"161","Chiro","Saro_Qoricabsii","","",40.911,9.05383
"162","Chiro","Saro_Saro","","",40.911,9.05383
"163","Chiro","Saro_T/qallaa","","",40.911,9.05383
"164","Chiro","Shola_Kirite","","",40.911,9.05383
"165","Chiro","Tagal","","",40.91106,9.05383
"166","Chiro","W/Limay_Dh/Cabsa","","",40.911,9.05383
"167","Chiro","Y/Gojola ","","",40.91106,9.05383
"168","Chiro","Y/Gojola Babboo","","",40.91106,9.05383
"169","Chiro","Y/Gojola Culle","","",40.91106,9.05383
"170","Chiro","Y/Gojola Doobis","","",40.91106,9.05383
"171","Chiro","Y/Gojola Gubba","","",40.91106,9.05383
"172","Chiro","Y/Gojola Ittuu","","",40.91106,9.05383
"173","Chiro","Y/Gojola Malkany","","",40.91106,9.05383
"174","Chiro","Y/Gojola Shuluuka","","",40.91106,9.05383
"175","Chiro","Y/Gojola Shunqa","","",40.91106,9.05383
"176","Chiro","Y/Gojola Waltane","","",40.91106,9.05383
"177","Chiro","Y/Gojola_Babo","","",40.9403,9.09021
"178","Chiro","Y/Gojola_Dobi","","",40.9403,9.09021
"179","Chiro","Y/Gojola_Melkanya","","",40.9403,9.09021
"180","Chiro","Y/Gojola_Shuluka","","",40.9403,9.09021
"181","Chiro","Y/Gojola_Shunka","","",40.9403,9.09021
"182","Chiro","Y/Gojola_Subba","","",40.9403,9.09021
"183","Chiro","Y/Gojola_Symkanya","","",40.9403,9.09021
"184","Cuqala","Ayane","","",39.434316,8.663253
"185","D/Gale","A/koysha_Bolima","","",37.8782136363636,6.99607
"186","D/Gale","A/koysha_Dureteta","","",37.8847166666667,6.99518333333333
"187","D/Gale","A/koysha_Fayateta","","",37.887445,6.99635
"188","D/Gale","A/koysha_Lala","","",37.8834492857143,6.99587921428571
"189","D/Gale","A/koysha_Loa aysua","","",37.883125,6.99613
"190","D/Gale","A/koysha_Muruta","","",37.8845646153846,6.99572692307692
"191","D/Gale","A/koysha_Siqua","","",37.88738,6.99633
"192","D/Gale","A/koysha_Tida","","",37.8774025,6.99595625
"193","D/Gale","A/koysha_Yalisa","","",37.886489,6.995494
"194","D/Gale","A/koysha_l/Aysua","","",37.877334,6.996092
"195","D/Gale","A/koysha_marata","","",37.88623,6.99576
"196","D/Gale","Ade Damot_Acha","","",37.9031383333333,6.14866666666667
"197","D/Gale","Ade Damot_Boho","","",37.9023375,6.9810975
"198","D/Gale","Ade Damot_Gata","","",37.90376875,6.9742825
"199","D/Gale","Ade Damot_Shakisho","","",37.9022483333333,6.88564555555556
"200","D/Gale","Ade Damot_Sore","","",37.90054,6.9809425
"201","D/Gale","Ade Damot_Wanche","","",37.900135,6.982245
"202","D/Gale","Ade Damot_Wanech","","",37.904135,6.98131
"203","D/Gale","Ade Damot_sore","","",37.9061357142857,6.96652714285714
"204","D/Gale","Ade Damot_sura","","",37.90145,6.98372
"205","D/Gale","Buge_G.Buge","","",37.9402169230769,7.08654330769231
"206","D/Gale","Buge_Gido Buge","","",37.9494666666667,7.11528208333333
"207","D/Gale","Buge_K/lalo","","",37.9451625,7.08379425
"208","D/Gale","Buge_Koka","","",37.9442533333333,7.07656333333333
"209","D/Gale","Buge_Lala","","",37.94426,7.07656
"210","D/Gale","Buge_Lalo","","",37.9440825,7.08854666666667
"211","D/Gale","Buge_Wodeba","","",37.94697,7.27113
"212","D/Gale","Gacheno_Busha","","",37.9260516666667,7.04392333333333
"213","D/Gale","Gacheno_Chisha","","",37.84021,7.04305857142857
"214","D/Gale","Gacheno_Cisha","","",37.9228766666667,7.03575666666667
"215","D/Gale","Gacheno_Moqota","","",37.9214811111111,7.03951333333333
"216","D/Gale","Gacheno_Wodeba","","",37.9212215384615,7.03727384615385
"217","D/Gale","Gacheno_Wogara","","",37.91903,7.032998
"218","D/Gale","Gacheno_inje","","",37.922845,7.037205
"219","D/Gale","Gacheno_wogera","","",37.9245977777778,7.04213777777778
"220","DUGDA","SERA WAKELLE","","",38.83333333,8.166666667
"221","Dabat","abitera","","",NA,NA
"222","Dabat","dara","","",NA,NA
"223","Dalocha"," Zemo","","",38.31028,7.74002
"224","Dalocha","4 Bere","","",38.3657425,7.812315
"225","Dalocha","Ababana Tehir","","",38.3142,7.7896
"226","Dalocha","Abeliglit","","",38.2992775,7.7937725
"227","Dalocha","Abemalit","","",38.2974333333333,7.79498333333333
"228","Dalocha","Abizena","","",38.013775,7.92375
"229","Dalocha","Abora","","",37.7899666666667,7.66616666666667
"230","Dalocha","Achare","","",38.3218666666667,7.7546
"231","Dalocha","Agalo","","",38.3735125,7.81575
"232","Dalocha","Agam","","",38.32616,7.78109
"233","Dalocha","Agelgilot","","",38.3103958333333,7.7961625
"234","Dalocha","Akule","","",38.212665,7.7275
"235","Dalocha","Albezar","","",38.3807666666667,7.8073
"236","Dalocha","Alekiro","","",38.2912575,7.7846975
"237","Dalocha","Alem Gena","","",38.301874,7.794567
"238","Dalocha","Alemila","","",38.294068,7.794054
"239","Dalocha","Alewabe","","",38.295229,7.795227
"240","Dalocha","Aleyo","","",38.3609828571429,7.80506857142857
"241","Dalocha","Alibabo","","",38.3218666666667,7.7546
"242","Dalocha","Alimene","","",38.3385775,7.799305
"243","Dalocha","Anemo","","",38.37127,7.851509
"244","Dalocha","Anishebeso","","",38.357876,7.80206
"245","Dalocha","Awol","","",37.8772857142857,7.47828571428571
"246","Dalocha","Ayibit","","",38.308725,7.72745
"247","Dalocha","Badilala","","",38.3391,7.7753
"248","Dalocha","Badula","","",38.33092,7.7665
"249","Dalocha","Bedalo","","",38.3077,7.8077
"250","Dalocha","Bedelo Hejato","","",38.3791333333333,7.76716666666667
"251","Dalocha","Bedulana Soribe","","",38.32655,7.79655
"252","Dalocha","Bekeshile","","",38.369395,7.835695
"253","Dalocha","Beketo","","",38.3821,7.8154
"254","Dalocha","Bekicho","","",38.3669,7.8229
"255","Dalocha","Bekito","","",38.36137,7.81031
"256","Dalocha","Bena","","",37.9803666666667,8.005
"257","Dalocha","Benin ","","",38.3637,7.8031
"258","Dalocha","Benin 3","","",38.3566705,7.814985
"259","Dalocha","Bona","","",38.057225,7.619
"260","Dalocha","Buche","","",38.3481,7.7741
"261","Dalocha","Chaekeka","","",38.3832,7.7853
"262","Dalocha","Chafe","","",38.35607375,7.79150875
"263","Dalocha","Chekake","","",38.347825,7.808675
"264","Dalocha","Chimeso","","",38.3767133333333,7.792325
"265","Dalocha","Chune","","",38.3657333333333,7.81230333333333
"266","Dalocha","Debagesh","","",38.36769,7.82129
"267","Dalocha","Demisaro","","",38.3649,7.81303333333333
"268","Dalocha","Dete","","",38.361377,7.810327
"269","Dalocha","Dete ","","",38.36137,7.81031
"270","Dalocha","Dete Gola","","",38.361395,7.810335
"271","Dalocha","Dilapa","","",38.3236333333333,7.76823333333333
"272","Dalocha","Dube","","",38.2915754545455,7.79357090909091
"273","Dalocha","Ebot","","",38.301855,7.79354
"274","Dalocha","Emam Jabo","","",38.34551,7.80888
"275","Dalocha","Etaya","","",38.3494,7.7812
"276","Dalocha","Fuge","","",38.3768122222222,7.81029111111111
"277","Dalocha","G/gale","","",38.243488,7.793863
"278","Dalocha","Garino","","",38.35901,7.80083333333333
"279","Dalocha","Gebare","","",37.8544,7.49788888888889
"280","Dalocha","Geramo","","",38.36769,7.82129
"281","Dalocha","Gibe","","",38.3104616666667,7.79761
"282","Dalocha","Godabamo","","",38.2927566666667,7.79544
"283","Dalocha","Gogora","","",38.3496,7.80096666666667
"284","Dalocha","Golalisha","","",38.38644,7.80543
"285","Dalocha","Gotebej","","",38.308795,7.79640666666667
"286","Dalocha","Gure","","",38.0348333333333,7.63966666666667
"287","Dalocha","Hanzalona Sagaro","","",38.3481,7.7741
"288","Dalocha","Hechare","","",38.3711425,7.8515175
"289","Dalocha","Hedira","","",38.3711366666667,7.85150866666667
"290","Dalocha","Hensaweto","","",38.29268,7.7943275
"291","Dalocha","Jebana E/ Gasha","","",38.382385,7.815385
"292","Dalocha","Jebana E/Gasha","","",38.38231,7.81534
"293","Dalocha","Jebona E/Gasha","","",38.38231,7.81534
"294","Dalocha","Jefar 1","","",38.3444,7.7712
"295","Dalocha","Jefar 2","","",38.3391,7.7753
"296","Dalocha","Jigana","","",38.3225428571429,7.7497
"297","Dalocha","Kere","","",38.2946628571429,7.79623571428571
"298","Dalocha","Ketebeja","","",38.293436,7.79509
"299","Dalocha","Kishamo","","",38.361125,7.8085
"300","Dalocha","Kitebana","","",38.29157,7.79356
"301","Dalocha","Koro","","",38.1025506363636,7.70212727272727
"302","Dalocha","Kulola","","",38.30186,7.79451
"303","Dalocha","Kutiy0","","",38.2953833333333,7.79362222222222
"304","Dalocha","Lay 4 bere","","",38.3408566666667,7.80698333333333
"305","Dalocha","Lay Fuge","","",38.365675,7.80459
"306","Dalocha","Lay dete wozir","","",38.37563,7.792365
"307","Dalocha","Laydete Wozir","","",38.3756275,7.7923525
"308","Dalocha","Mahal Gult","","",38.364635,7.816105
"309","Dalocha","Mehal Zemo","","",38.33115,7.77805
"310","Dalocha","Mekidal","","",38.34924,7.78296
"311","Dalocha","Mirt Gulit","","",38.35565,7.80125
"312","Dalocha","Mola Kuche","","",38.36769,7.82129
"313","Dalocha","Nebe","","",38.29125,7.78469
"314","Dalocha","Nurisabo","","",38.34165,7.782175
"315","Dalocha","Sefato","","",37.93194675,7.65775333333333
"316","Dalocha","Semibe","","",38.33892,7.78122
"317","Dalocha","Sh/Ahmed","","",38.30186,7.79451
"318","Dalocha","Sh/Habib","","",38.30748,7.79612142857143
"319","Dalocha","Shamino","","",38.3481,7.7741
"320","Dalocha","Shifara","","",37.7744714285714,7.67628571428571
"321","Dalocha","Sibala","","",38.321258125,7.795616875
"322","Dalocha","Sirisabo","","",38.3143625,7.7496125
"323","Dalocha","Sokole","","",38.2971,7.7192
"324","Dalocha","Tach 4 Ber","","",38.36576,7.81231
"325","Dalocha","Tach Detewozir","","",38.36832,7.79853
"326","Dalocha","Tehero","","",37.4234,7.578
"327","Dalocha","Tekelo","","",38.30651,7.79112
"328","Dalocha","Temasher","","",38.3751,7.7934
"329","Dalocha","Tite","","",37.8195,7.63922222222222
"330","Dalocha","Toko","","",38.3548416666667,7.76739833333333
"331","Dalocha","Tsige","","",38.3637,7.8131
"332","Dalocha","Turamo","","",38.3731,7.82175
"333","Dalocha","Tuzar","","",38.3796,7.80425
"334","Dalocha","Useno","","",38.3255,7.78443333333333
"335","Dalocha","W/Anishabeso","","",38.354485,7.81038
"336","Dalocha","Wanija 6","","",38.3537475,7.8152975
"337","Dalocha","Wolat","","",38.3232111111111,7.77168888888889
"338","Dalocha","Wolo","","",38.2996466666667,7.79474666666667
"339","Dalocha","Woreb Sefar","","",38.3065166666667,7.79113
"340","Dalocha","Wozir","","",38.345651,7.80868
"341","Dalocha","Yekede","","",38.34545,7.7965
"342","Dalocha","Yemashar","","",38.3539666666667,7.82373333333333
"343","Dalocha","Yemesha","","",38.3771,7.7231
"344","Dalocha","Yemishar","","",38.3711,7.8501
"345","Dalocha","Yeshak","","",38.35654,7.811
"346","Dalocha","Zemo Chafe","","",38.3018590909091,7.79452727272727
"347","Dalocha","Zerafa","","",37.7290666666667,7.69533333333333
"348","Damot Gale","A/Sebaye_1","","",37.083725,7.69694875
"349","Damot Gale","A/Sebaye_2","","",37.0866510638298,7.69700063829787
"350","Damot Gale","A/Sebaye_3","","",37.09192,7.69772
"351","Damot Gale","Sh_Gale","","",37.0079,7.64994
"352","Damot Gale","Z/Sebaye_1","","",37.00152,7.700984
"353","Damot Gale","Z/Sebaye_2","","",37.0146513513514,7.70126243243243
"354","Damot Gale","Z/Sebaye_3","","",37.0150471698113,7.70128962264151
"355","Damot Gale","galle","","",37.0185,7.67837
"356","Damot Gale","gawuga","","",37.0185,7.67837
"357","Damot Gale","koyisha","","",37.0185,7.67837
"358","Damot Gale","mante","","",37.0185,7.67837
"359","Damot Gale","woyesha","","",37.0185,7.67837
"360","Debube ari","Alged","","",36.6122392307692,5.74053153846154
"361","Debube ari","Azwonesi","","",36.6248475,5.7230535
"362","Debube ari","Bala","","",36.5683666666667,5.72678458333333
"363","Debube ari","Bayede","","",36.5666444117647,5.72101294117647
"364","Debube ari","Dame","","",36.53954,5.7919
"365","Debube ari","Damori","","",36.7896524242424,5.74529696969697
"366","Debube ari","Duma","","",36.6558690909091,5.76468242424242
"367","Debube ari","Garene","","",36.62094,5.72725
"368","Debube ari","Gedshe","","",36.54811,5.7506
"369","Debube ari","Gerger","","",36.69344,5.79963333333333
"370","Debube ari","Gudams","","",36.551149,5.78284
"371","Debube ari","Gudrfali","","",36.6182066666667,5.72883
"372","Debube ari","Hajeker","","",36.6067663157895,5.65505263157895
"373","Debube ari","Hebret","","",36.55352,5.7497
"374","Debube ari","Kokebe","","",36.61247,5.64716307692308
"375","Debube ari","Maylako","","",36.553555,5.74946666666667
"376","Debube ari","Shebshbe","","",36.6236625,5.7244575
"377","Debube ari","Shekamer","","",36.70687475,5.7411475
"378","Debube ari","Walbac","","",36.5964418181818,5.71961318181818
"379","Debube ari","Wesader","","",36.565287,5.78245
"380","Debube ari","zacha","","",36.56479625,5.77136208333333
"381","Deguatenbien","Aynibirkekin","","",39.24,13.662
"382","Deguatenbien","Mahberesilassie","","",NA,NA
"383","Deguatenbien","Seret","","",39.131,13.589
"384","Dejen","Gelgelie","","",NA,NA
"385","Dejen","none","","",NA,NA
"386","Dejen","not given","","",NA,NA
"387","Dejen ","Sebshengo ","","",38.150029,10.164087
"388","Dera","A/GEBEYA","","",37.566659,11.783333
"389","Dera","Aba gerayt","","",37.566659,11.783333
"390","Dera","Adis sefer","","",37.566659,11.783333
"391","Dera","Amora Gebeya","","",37.566659,11.783333
"392","Dera","Berenk","","",37.566659,11.783333
"393","Dera","DARIHUN","","",37.566659,11.783333
"394","Dera","DEBER MENDER","","",37.566659,11.783333
"395","Dera","Darihun","","",37.566659,11.783333
"396","Dera","ENKURKURIT","","",37.566659,11.783333
"397","Dera","Enkurkurit","","",37.566659,11.783333
"398","Dera","Huletu wegedame","","",37.733633632973,11.7809309302703
"399","Dera","LAYE KERER","","",37.566659,11.783333
"400","Dera","SHGIE","","",37.566659,11.783333
"401","Dera","Shegie","","",37.566659,11.783333
"402","Dera","Shina","","",37.566659,11.783333
"403","Dera","TACH KERER","","",37.566659,11.783333
"404","Dera","Tach Kerer","","",37.566659,11.783333
"405","Dera","Tana","","",37.566659,11.783333
"406","Dera","Wonchet","","",37.6170555556,11.8448611116
"407","Dera","YENTABA","","",37.566659,11.783333
"408","Dera","lay kerer","","",37.566659,11.783333
"409","Dera","lelina","","",37.566659,11.783333
"410","Dera","tach kerer","","",37.566659,11.783333
"411","Dera","yintaba","","",37.566659,11.783333
"412","Derashe ","Ataya","","",37.333333,5.666667
"413","Derashe ","Haybena  ","","",37.333333,5.666667
"414","Derashe ","not given","","",37.4445632160804,5.67075472361809
"415","Dhibo","Qilxu","","",39.434316,8.663253
"416","Dinglet","D.tem","","",NA,NA
"417","District","G/Rogda","","",37.93337316,8.48946686
"418","District","Soyoma","","",37.93337316,8.48946686
"419","Doba","B/Adu_Abiye","","",41.05336,9.1997
"420","Doba","B/Adu_Abiye ","","",41.05336,9.1997
"421","Doba","B/Adu_Cophii","","",41.05336,9.1997
"422","Doba","B/Adu_Gaara","","",41.05336,9.1997
"423","Doba","B/Adu_Gaara  ","","",41.05336,9.1997
"424","Doba","B/Adu_Gara ","","",41.05336,9.1997
"425","Doba","B/Adu_Madara","","",41.05336,9.1997
"426","Doba","B/Adu_Madara ","","",41.05336,9.1997
"427","Doba","B/Adu_Nole","","",41.05336,9.1997
"428","Doba","B/Adu_Nole ","","",41.05336,9.1997
"429","Doba","B/Adu_Orgoba","","",41.05336,9.1997
"430","Doba","Badhasa_Aniyaa","","",41.05336,9.1997
"431","Doba","Badhasa_Hananole","","",41.05336,9.1997
"432","Doba","Badhasa_Kanno","","",41.05336,9.1997
"433","Doba","Dhalota Abdi","","",41.05336,9.1997
"434","Doba","Dhalota Abdo","","",41.05336,9.1997
"435","Doba","Dhalota Aboo","","",41.05336,9.1997
"436","Doba","Dhalota Biretti","","",41.05336,9.1997
"437","Doba","Dhalota Dadi","","",41.05336,9.1997
"438","Doba","Dhalota Mixoo","","",41.05336,9.1997
"439","Doba","I/Amay_Alidarsu","","",41.05336,9.1997
"440","Doba","I/Amay_Ame Usso","","",41.05336,9.1997
"441","Doba","I/Amay_Cituu","","",41.05336,9.1997
"442","Doba","I/Amay_Noolee","","",41.05336,9.1997
"443","Doba","I/Amay_Odaa","","",41.05336,9.1997
"444","Doba","I/Amay_Wanule","","",41.05336,9.1997
"445","Doba","L/Lenca_01","","",41.05336,9.1997
"446","Doba","L/Lenca_03","","",41.05336,9.1997
"447","Doba","L/Lenca_04","","",41.05336,9.1997
"448","Doba","L/Lenca_06","","",41.05336,9.1997
"449","Doba","L/Lenca_07","","",41.05336,9.1997
"450","Doba","L/Wadessa_Horgobba ","","",41.05336,9.1997
"451","Doba","L/Wadessa_Hujufaa","","",41.05336,9.1997
"452","Doba","L/Wadessa_Machesa","","",41.05336,9.1997
"453","Doba","Tokuma mata Lenca_Aliye","","",41.05336,9.1997
"454","Doba","Tokuma mata Lenca_Aluu","","",41.05336,9.1997
"455","Doba","Tokuma mata Lenca_Charin","","",41.05336,9.1997
"456","Doba","Tokuma mata Lenca_Facatu","","",41.05336,9.1997
"457","Doba","Tokuma mata Lenca_Gambela","","",41.05336,9.1997
"458","Doba","Tokuma mata Lenca_Jedaa","","",41.05336,9.1997
"459","Doba","Tokuma mata Lenca_Waadan","","",41.05336,9.1997
"460","Doba","Waltane_2","","",41.05336,9.1997
"461","Doba","Waltane_3","","",41.05336,9.1997
"462","Doba","Waltane_4","","",41.05336,9.1997
"463","Doba","Waltane_5","","",41.05336,9.1997
"464","Doba","Waltane_6","","",41.05336,9.1997
"465","Doba","Waltane_8","","",41.05336,9.1997
"466","Dobba","B/Adu_Abiye","","",41.03827,9.22515
"467","Dobba","B/Adu_Gaara","","",41.03827,9.22515
"468","Dobba","B/Adu_Mandara","","",41.03827,9.22515
"469","Dobba","B/Adu_Nole","","",41.03827,9.22515
"470","Dobba","B/Adu_Orgobba","","",41.03827,9.22515
"471","Dobba","W/Ibsa-Awu Kadon","","",41.05336,9.1997
"472","Dobba","W/Ibsa-Gadami","","",41.05336,9.1997
"473","Dobba","W/Ibsa-Haji ","","",41.05336,9.1997
"474","Dobba","W/Ibsa-Turco","","",41.05336,9.1997
"475","Dobba","W/Waji-","","",41.05336,9.1997
"476","Dobba","Waltane-","","",41.05336,9.1997
"477","Dugda","Hafaa Qamalee","","",38.83333333,8.166666667
"478","Dugda","JAWWE BOFO","","",38.83333333,8.166666667
"479","Dugda","Koto Billitti","","",38.81881714,8.13808614
"480","Dugda","Mukiye Laman","","",38.81881714,8.13808614
"481","Dugda","ODA BOQOTA","","",38.83333333,8.166666667
"482","Dugda","Shubii Gamu","","",38.83333333,8.166666667
"483","Dugda","Suchii Sumayaa","","",38.83333333,8.166666667
"484","Dugda","TUCHI DAMBAL","","",38.83333333,8.166666667
