"","trial","crop","planting_date_avg","planting_date_min","planting_date_max"
"168","2019_osw_boset_tef","teff",2019-07-14,2019-07-04,2019-07-29
"169","2019_osw_dugda_foodbarley","barley",NaN,Inf,-Inf
"170","2019_osw_dugda_haricotbean","commonbean",2019-07-13,2019-07-02,2019-07-29
"171","2019_osw_dugda_haricotbean","haricotbean",2019-07-13,2019-07-02,2019-07-29
"172","2019_osw_gbhbu_bwheat","breadwheat",NaN,Inf,-Inf
"173","2019_osw_gbhbu_tef","teff",NaN,Inf,-Inf
"174","2019_osw_goro_blackcumin","blackcumin",NaN,Inf,-Inf
"175","2019_osw_goro_fababean","fababean",NaN,Inf,-Inf
"176","2019_osw_goro_haricotbean","commonbean",NaN,Inf,-Inf
"177","2019_osw_goro_haricotbean","haricotbean",NaN,Inf,-Inf
"178","2019_osw_lume_haricotbean","commonbean",2019-07-12,2019-06-28,2019-07-27
"179","2019_osw_lume_haricotbean","haricotbean",2019-07-12,2019-06-28,2019-07-27
"180","2019_osw_lume_tef","teff",2019-07-24,2019-07-05,2019-08-08
"181","2019_osw_sayoboji_fmillet","fingermillet",2019-08-01,2019-07-17,2019-09-07
"182","2019_osw_sinana_fababean","fababean",2011-12-18,2011-12-10,2011-12-27
"183","2019_osw_sinana_fieldpea","fieldpea",2011-12-18,2011-12-03,2011-12-30
"184","2019_osw_sinana_foodbarley","barley",2011-12-16,2011-12-01,2011-12-28
"185","2019_osw_sinana_oat","oat",2011-12-17,2011-12-07,2011-12-30
"186","2019_osw_sire_haricotbean","commonbean",2019-06-12,2019-06-06,2019-06-20
"187","2019_osw_sire_haricotbean","haricotbean",2019-06-12,2019-06-06,2019-06-20
"188","2019_osw_sire_wheat","breadwheat",NaN,Inf,-Inf
"189","2019_osw_tole_fababean","fababean",2011-10-10,2011-10-06,2011-11-14
"190","2019_osw_tole_wheat","breadwheat",NaN,Inf,-Inf
"191","2019_sayobojy_haricotbean2","commonbean",2019-08-20,2019-08-13,2019-08-29
"192","2019_sayobojy_haricotbean2","haricotbean",2019-08-20,2019-08-13,2019-08-29
"193","2019_snnpr_adilo_hbean","haricotbean",2011-12-17,2011-12-12,2011-12-24
"194","2019_snnpr_adilo_hbean","commonbean",2011-12-17,2011-12-12,2011-12-24
"195","2019_snnpr_adilo_tef","teff",2016-05-27,2011-06-12,2024-12-11
"196","2019_snnpr_anlemo_tef","teff",2011-11-19,2011-11-19,2011-11-20
"197","2019_snnpr_anlemo_wheat","breadwheat",2011-11-23,2011-11-22,2011-11-25
"198","2019_snnpr_chena_fababean","fababean",2011-12-16,2011-12-06,2011-12-30
"199","2019_snnpr_chena_wheat","breadwheat",NaN,Inf,-Inf
"200","2019_snnpr_dalocha_et_wheat","breadwheat",2011-11-15,2011-11-12,2011-11-18
"201","2019_snnpr_dalocha_md_haricotbean","commonbean",2011-11-16,2011-11-10,2011-11-19
"202","2019_snnpr_dalocha_md_haricotbean","haricotbean",2011-11-16,2011-11-10,2011-11-19
"203","2019_snnpr_dalocha_ws_tef","teff",2011-11-15,2011-11-12,2011-11-18
"204","2019_snnpr_dgale_haricotbean","commonbean",2012-01-22,2011-12-01,2012-12-30
"205","2019_snnpr_dgale_haricotbean","haricotbean",2012-01-22,2011-12-01,2012-12-30
"206","2019_snnpr_halaba_fmillet","fingermillet",2011-11-10,2011-10-09,2011-12-09
"207","2019_snnpr_halaba_haricotbean","haricotbean",2011-08-05,2011-03-12,2011-12-15
"208","2019_snnpr_halaba_tef","teff",2011-12-22,2011-12-19,2011-12-25
"209","2019_snnpr_humbo_kwangella_hbean","commonbean",NaN,Inf,-Inf
"210","2019_snnpr_humbo_kwangella_hbean","haricotbean",NaN,Inf,-Inf
"211","2019_snnpr_humbo_shochora_tef","teff",NaN,Inf,-Inf
"212","2019_snnpr_jinka_alga_fmillet","fingermillet",2011-08-12,2011-08-09,2011-08-16
"213","2019_snnpr_jinka_bala_fmillet","fingermillet",2011-08-05,2011-08-01,2011-08-16
"214","2019_snnpr_jinka_baytsemal_fmillet","fingermillet",2011-08-16,2011-08-01,2011-08-30
"215","2019_snnpr_jinka_kaysa_fmillet","fingermillet",2011-08-18,2011-08-02,2011-08-30
"216","2019_snnpr_lemo_tef","teff",2025-03-19,2013-12-11,2029-11-11
"217","2019_snnpr_lemo_wheat","breadwheat",2011-11-24,2011-11-03,2011-12-10
"218","2019_snnpr_shgale_haricotbean","haricotbean",2011-12-27,2011-12-24,2011-12-30
"219","2019_snnpr_shgale_haricotbean","commonbean",2011-12-27,2011-12-24,2011-12-30
"220","2019_snnpr_shishonde_hbean","haricotbean",2011-11-24,2011-11-19,2011-11-29
"221","2019_snnpr_shishonde_hbean","commonbean",2011-11-24,2011-11-19,2011-11-29
"222","2019_snnpr_shishonde_wheat","breadwheat",2011-11-25,2011-11-19,2011-11-29
"223","2019_snnpr_zamine_zibaye_tef","teff",2011-12-22,2011-12-17,2011-12-29
"224","2019_tig_adwa_wheat","breadwheat",2011-06-19,2011-01-11,2011-11-11
"225","2019_tig_asgedetsembela_fmillet","fingermillet",2011-10-11,2011-09-28,2011-11-10
"226","2019_tig_asgedetsimbela_sorghum","sorghum",2011-10-27,2011-10-01,2011-11-26
"227","2019_tig_axum_faba_bean2","fababean",2011-10-19,2011-06-10,2011-11-10
"228","2019_tig_enderta_foodbarley","barley",2011-06-17,2011-01-11,2011-11-11
"229","2019_tig_enderta_wheat","breadwheat",2011-10-07,2011-08-11,2011-11-11
"230","2019_tig_kilteawulaelo_durumwheat","durumwheat",2011-11-10,2011-10-11,2011-11-22
"231","2019_tig_laelayadyabo_fmiilet","fingermillet",2011-05-17,2011-03-10,2011-11-10
"232","2019_tig_raya_alamata_foodbarley","barley",2011-03-28,2011-01-11,2011-09-11
"233","2019_tig_raya_alamata_sorghum","sorghum",2020-10-28,2011-01-11,2028-11-11
"234","2019_tig_raya_alamata_wheat","breadwheat",NaN,Inf,-Inf
"235","2019_tig_tahitay_adiabo_sorghum","sorghum",2011-06-04,2011-01-11,2011-11-11
"236","_issd_osw_bosat_furda","commonbean",2017-07-09,2017-06-12,2017-07-29
"237","adwa_wheat","breadwheat",2017-07-16,2017-07-13,2017-07-20
"238","dejen_fababean_issd_bdu","fababean",NaN,Inf,-Inf
"239","illuababora_bure_haricotbean_2018","commonbean",NaN,Inf,-Inf
"240","illuababora_bure_haricotbean_2018","haricotbean",NaN,Inf,-Inf
"241","illuababora_bure_millet_2018","fingermillet",NaN,Inf,-Inf
"242","illuababora_bure_sorghum_2018","sorghum",NaN,Inf,-Inf
"243","illuababora_bure_wheat_2018","durumwheat",NaN,Inf,-Inf
"244","illuababora_bure_wheat_2018","wheat",NaN,Inf,-Inf
"245","illuababora_bure_wheat_2018","breadwheat",NaN,Inf,-Inf
"246","illuababora_hurumu_barley_2018","barley",NaN,Inf,-Inf
"247","illuababora_hurumu_fababean_2018","fababean",NaN,Inf,-Inf
"248","illuababora_hurumu_haricotbean_2018","commonbean",NaN,Inf,-Inf
"249","illuababora_hurumu_haricotbean_2018","haricotbean",NaN,Inf,-Inf
"250","illuababora_hurumu_wheat_2018","durumwheat",NaN,Inf,-Inf
"251","illuababora_hurumu_wheat_2018","breadwheat",NaN,Inf,-Inf
"252","illuababora_hurumu_wheat_2018","wheat",NaN,Inf,-Inf
"253","illuababora_teff_2018","teff",NaN,Inf,-Inf
"254","issd_ethiopia_osw_lume_faba_bean","fababean",2017-07-19,2016-07-09,2017-11-14
"255","issd_ethiopia_osw_sire_fababean","fababean",2017-07-20,2017-06-12,2018-06-24
"256","issd_ethiopia_oswu_sire_barley","barley",2017-07-21,2017-05-04,2018-05-24
"257","issd_osw_adola_tef2018","teff",2018-10-16,2018-06-25,2019-08-27
"258","issd_osw_bosat_butta_dalacha_gada_sorghum","sorghum",2017-06-21,2017-06-21,2017-06-21
"259","issd_osw_boset2018_haricotbean","commonbean",2018-07-26,2018-06-29,2019-07-20
"260","issd_osw_boset2018_haricotbean","haricotbean",2018-07-26,2018-06-29,2019-07-20
"261","issd_osw_dugda_3_kebeles_food_barley_2017","barley",2017-07-08,2017-06-21,2017-08-12
"262","issd_osw_dugda_fababean_1_kebele_2017","fababean",2017-06-18,2017-06-09,2017-07-17
"263","issd_osw_gorodistrict_4kebeles_commonbean","commonbean",NaN,Inf,-Inf
"264","issdose_lume_haricotbean2019","commonbean",NaN,Inf,-Inf
"265","jemal","durumwheat",NaN,Inf,-Inf
"266","jemal","wheat",NaN,Inf,-Inf
"267","jemal","breadwheat",NaN,Inf,-Inf
"268","jimmazuria_omonada_tef_2018","teff",NaN,Inf,-Inf
"269","jimmazuria_omonada_wheat_2018","durumwheat",NaN,Inf,-Inf
"270","jimmazuria_omonada_wheat_2018","wheat",NaN,Inf,-Inf
"271","jimmazuria_omonada_wheat_2018","breadwheat",NaN,Inf,-Inf
"272","jimmazuria_tiruafeta_haricotbean_2018","commonbean",NaN,Inf,-Inf
"273","jimmazuria_tiruafeta_haricotbean_2018","haricotbean",NaN,Inf,-Inf
"274","jimmazuria_tiruafeta_teff_2018","teff",NaN,Inf,-Inf
"275","mekelle_hs_dw_2018","durumwheat",NaN,Inf,-Inf
"276","osw_issd_sorghum_bosat_buta_badhaso_2017","sorghum",2017-06-09,2017-05-11,2017-07-13
"277","osw_issd_tole_all_keb_chickpea_","chickpea",2017-06-21,2017-05-01,2017-12-06
"278","osw_issd_tole_chickpea_2017","chickpea",2017-09-05,2017-07-30,2018-08-24
"279","snnpr_2019_chenafababean","fababean",2011-09-05,2011-06-12,2011-12-12
"280","temben_barley","barley",2017-07-18,2017-07-17,2017-07-20
"281","tigray_issdmu_tsimbla_selam_sorghum","sorghum",2017-06-14,2017-06-03,2017-07-12
"282","tigray_mu_selam_sorghum","sorghum",2017-07-01,2017-06-02,2017-08-01
"283","tigray_muissdadwa__bread_wheat","breadwheat",2017-07-26,2017-07-03,2017-11-13
