,trial,crop,planting_date_avg,New edited date,planting_date_min,planting_date_min-edited,planting_date_max,planting_date_max-edited
218,2019_snnpr_shgale_haricotbean,haricotbean,27/12/2011,02/09/2019,24/12/2011,30/08/2019,30/12/2011,05/09/2019
219,2019_snnpr_shgale_haricotbean,commonbean,27/12/2011,02/09/2019,24/12/2011,30/08/2019,30/12/2011,05/09/2019
220,2019_snnpr_shishonde_hbean,haricotbean,24/11/2011,31/07/2019,19/11/2011,26/07/2019,29/11/2011,05/08/2019
221,2019_snnpr_shishonde_hbean,commonbean,24/11/2011,31/07/2019,19/11/2011,26/07/2019,29/11/2011,05/08/2019
222,2019_snnpr_shishonde_wheat,breadwheat,25/11/2011,01/08/2019,19/11/2011,26/07/2019,29/11/2011,05/08/2019
223,2019_snnpr_zamine_zibaye_tef,teff,22/12/2011,28/08/2019,17/12/2011,23/08/2019,29/12/2011,04/09/2019
224,2019_tig_adwa_wheat,breadwheat,09/11/2011,16/07/2019,01/11/2011,08/07/2019,11/11/2011,18/07/2019
225,2019_tig_asgedetsembela_fmillet,fingermillet,11/10/2011,18/06/2019,28/09/2011,05/06/2019,10/11/2011,17/07/2019
226,2019_tig_asgedetsimbela_sorghum,sorghum,27/10/2011,04/07/2019,01/10/2011,08/06/2019,26/11/2011,02/08/2019
227,2019_tig_axum_faba_bean2,fababean,19/10/2011,26/06/2019,06/10/2011,13/06/2019,10/11/2011,17/07/2019
228,2019_tig_enderta_foodbarley,barley,07/11/2011,14/07/2019,01/11/2011,08/07/2019,11/11/2011,18/07/2019
229,2019_tig_enderta_wheat,breadwheat,07/10/2011,14/06/2019,11/08/2011,19/04/2019,11/11/2011,18/07/2019
230,2019_tig_kilteawulaelo_durumwheat,durumwheat,10/11/2011,17/07/2019,11/10/2011,18/06/2019,22/11/2011,29/07/2019
231,2019_tig_laelayadyabo_fmiilet,fingermillet,17/10/2011,24/06/2019,03/10/2011,10/06/2019,10/11/2011,17/07/2019
232,2019_tig_raya_alamata_foodbarley,barley,08/11/2011,15/07/2019,01/11/2011,08/07/2019,09/11/2011,16/07/2019
233,2019_tig_raya_alamata_sorghum,sorghum,28/11/2011,04/08/2019,01/11/2011,08/07/2019,30/11/2011,06/08/2019
234,2019_tig_raya_alamata_wheat,breadwheat,NaN,,Inf,Inf,#NAME?,
235,2019_tig_tahitay_adiabo_sorghum,sorghum,04/11/2011,11/07/2019,01/11/2011,08/07/2019,11/11/2011,18/07/2019
236,_issd_osw_bosat_furda,commonbean,09/07/2017,09/07/2017,12/06/2017,12/06/2017,29/07/2017,29/07/2017
237,adwa_wheat,breadwheat,16/07/2017,16/07/2017,13/07/2017,13/07/2017,20/07/2017,20/07/2017
238,dejen_fababean_issd_bdu,fababean,NaN,04/07/2018,Inf,01/07/2018,#NAME?,07/07/2018
239,illuababora_bure_haricotbean_2018,commonbean,NaN,,Inf,Inf,#NAME?,#NAME?
240,illuababora_bure_haricotbean_2018,haricotbean,NaN,,Inf,Inf,#NAME?,#NAME?
241,illuababora_bure_millet_2018,fingermillet,NaN,,Inf,Inf,#NAME?,#NAME?
242,illuababora_bure_sorghum_2018,sorghum,NaN,,Inf,Inf,#NAME?,#NAME?
243,illuababora_bure_wheat_2018,durumwheat,NaN,,Inf,Inf,#NAME?,#NAME?
244,illuababora_bure_wheat_2018,wheat,NaN,,Inf,Inf,#NAME?,#NAME?
245,illuababora_bure_wheat_2018,breadwheat,NaN,,Inf,Inf,#NAME?,#NAME?
246,illuababora_hurumu_barley_2018,barley,NaN,,Inf,Inf,#NAME?,#NAME?
247,illuababora_hurumu_fababean_2018,fababean,NaN,,Inf,Inf,#NAME?,#NAME?
248,illuababora_hurumu_haricotbean_2018,commonbean,NaN,,Inf,Inf,#NAME?,#NAME?
249,illuababora_hurumu_haricotbean_2018,haricotbean,NaN,,Inf,Inf,#NAME?,#NAME?
250,illuababora_hurumu_wheat_2018,durumwheat,NaN,,Inf,Inf,#NAME?,#NAME?
251,illuababora_hurumu_wheat_2018,breadwheat,NaN,,Inf,Inf,#NAME?,#NAME?
252,illuababora_hurumu_wheat_2018,wheat,NaN,,Inf,Inf,#NAME?,#NAME?
253,illuababora_teff_2018,teff,NaN,,Inf,Inf,#NAME?,#NAME?
254,issd_ethiopia_osw_lume_faba_bean,fababean,19/07/2017,19/07/2017,09/07/2016,09/07/2017,24/07/2017,24/07/2017
255,issd_ethiopia_osw_sire_fababean,fababean,20/07/2017,20/07/2017,12/06/2017,12/06/2017,24/07/2017,24/07/2017
256,issd_ethiopia_oswu_sire_barley,barley,21/05/2017,21/05/2017,04/05/2017,04/05/2017,24/05/2017,24/05/2017
257,issd_osw_adola_tef2018,teff,26/08/2018,26/08/2018,25/08/2018,25/08/2018,27/08/2019,27/08/2018
258,issd_osw_bosat_butta_dalacha_gada_sorghum,sorghum,21/06/2017,21/06/2017,21/06/2017,21/06/2017,21/06/2017,21/06/2017
259,issd_osw_boset2018_haricotbean,commonbean,20/07/2018,26/07/2018,29/06/2018,29/06/2018,20/07/2019,26/07/2018
260,issd_osw_boset2018_haricotbean,haricotbean,20/07/2018,26/07/2018,29/06/2018,29/06/2018,20/07/2019,26/07/2018
261,issd_osw_dugda_3_kebeles_food_barley_2017,barley,08/07/2017,08/07/2017,21/06/2017,21/06/2017,12/08/2017,12/08/2017
262,issd_osw_dugda_fababean_1_kebele_2017,fababean,18/06/2017,18/06/2017,09/06/2017,09/06/2017,17/07/2017,17/07/2017
263,issd_osw_gorodistrict_4kebeles_commonbean,commonbean,NaN,,Inf,Inf,#NAME?,#NAME?
264,issdose_lume_haricotbean2019,commonbean,NaN,12/07/2019,Inf,28/06/2019,#NAME?,27/07/2019
265,jemal,durumwheat,NaN,,Inf,Inf,#NAME?,#NAME?
266,jemal,wheat,NaN,,Inf,Inf,#NAME?,#NAME?
267,jemal,breadwheat,NaN,,Inf,Inf,#NAME?,#NAME?
268,jimmazuria_omonada_tef_2018,teff,NaN,,Inf,Inf,#NAME?,#NAME?
269,jimmazuria_omonada_wheat_2018,durumwheat,NaN,,Inf,Inf,#NAME?,#NAME?
270,jimmazuria_omonada_wheat_2018,wheat,NaN,,Inf,Inf,#NAME?,#NAME?
271,jimmazuria_omonada_wheat_2018,breadwheat,NaN,,Inf,Inf,#NAME?,#NAME?
272,jimmazuria_tiruafeta_haricotbean_2018,commonbean,NaN,,Inf,Inf,#NAME?,#NAME?
273,jimmazuria_tiruafeta_haricotbean_2018,haricotbean,NaN,,Inf,Inf,#NAME?,#NAME?
274,jimmazuria_tiruafeta_teff_2018,teff,NaN,,Inf,Inf,#NAME?,#NAME?
275,mekelle_hs_dw_2018,durumwheat,NaN,,Inf,Inf,#NAME?,#NAME?
276,osw_issd_sorghum_bosat_buta_badhaso_2017,sorghum,09/06/2017,09/06/2017,11/05/2017,11/05/2017,13/07/2017,13/07/2017
277,osw_issd_tole_all_keb_chickpea_,chickpea,21/06/2017,21/06/2017,01/05/2017,01/05/2017,12/06/2017,22/06/2017
278,osw_issd_tole_chickpea_2017,chickpea,05/08/2017,05/08/2017,30/07/2017,30/07/2017,24/08/2017,24/08/2017
279,snnpr_2019_chenafababean,fababean,09/12/2011,15/08/2019,06/12/2011,12/08/2019,12/12/2011,18/08/2019
280,temben_barley,barley,18/07/2017,18/07/2017,17/07/2017,17/07/2017,20/07/2017,20/07/2017
281,tigray_issdmu_tsimbla_selam_sorghum,sorghum,14/06/2017,14/06/2017,03/06/2017,03/06/2017,12/07/2017,12/07/2017
282,tigray_mu_selam_sorghum,sorghum,01/07/2017,01/07/2017,02/06/2017,02/06/2017,01/08/2017,01/08/2017
283,tigray_muissdadwa__bread_wheat,breadwheat,26/07/2017,26/07/2017,03/07/2017,03/07/2017,30/07/2017,30/07/2017
